,diesel,petrol
Chhotaudepur,92.15 ₹/L,96.41 ₹/L
Chikkaballapura,87.67 ₹/L,101.69 ₹/L
Chikmagalur,88.19 ₹/L,102.36 ₹/L
Chirang,88.51 ₹/L,96.98 ₹/L
Chitradurga,89.32 ₹/L,103.63 ₹/L
Chitrakut,90.72 ₹/L,97.54 ₹/L
Chittaurgarh,93.68 ₹/L,108.43 ₹/L
Chittoor,100.30 ₹/L,112.66 ₹/L
Churachandpur,87.51 ₹/L,101.61 ₹/L
Churu,95.03 ₹/L,109.93 ₹/L
Coimbatore,94.78 ₹/L,103.17 ₹/L
Cooch Bihar,94.03 ₹/L,107.39 ₹/L
Cuddalore,96.56 ₹/L,105.01 ₹/L
Cuddapah,98.51 ₹/L,110.70 ₹/L
Cuttack,95.10 ₹/L,103.54 ₹/L
Dahod,92.71 ₹/L,96.96 ₹/L
Dakshin Dinajpur,93.07 ₹/L,106.36 ₹/L
Dakshin Kannad,87.31 ₹/L,101.34 ₹/L
Daman,89.86 ₹/L,94.31 ₹/L
Damoh,94.79 ₹/L,109.62 ₹/L
Dantewada,99.31 ₹/L,106.39 ₹/L
Darbhanga,94.65 ₹/L,107.91 ₹/L
Darjeeling,94.27 ₹/L,108.02 ₹/L
Darrang,88.92 ₹/L,97.40 ₹/L
Datia,94.56 ₹/L,109.36 ₹/L
Dausa,94.28 ₹/L,109.12 ₹/L
Davangere,89.33 ₹/L,103.63 ₹/L
Dehradun,90.35 ₹/L,95.31 ₹/L
Delhi Shahdara,89.62 ₹/L,96.72 ₹/L
Deogarh,94.35 ₹/L,99.57 ₹/L
Deoria,89.81 ₹/L,96.63 ₹/L
Devbhumi Dwarka,92.52 ₹/L,96.77 ₹/L
Dewas,93.84 ₹/L,108.56 ₹/L
Dhalai,87.66 ₹/L,98.66 ₹/L
Dhamtari,95.66 ₹/L,102.68 ₹/L
Dhanbad,94.60 ₹/L,99.80 ₹/L
Dhar,94.79 ₹/L,109.61 ₹/L
Dharmapuri,95.50 ₹/L,103.90 ₹/L
Dharwad,87.70 ₹/L,101.70 ₹/L
Dhaulpur,94.02 ₹/L,108.83 ₹/L
Dhemaji,89.62 ₹/L,98.11 ₹/L
Dhenkanal,95.52 ₹/L,103.98 ₹/L
Dhuburi,89.88 ₹/L,98.38 ₹/L
Dhule,92.54 ₹/L,106.01 ₹/L
Dibang Valley,84.57 ₹/L,95.30 ₹/L
Dibrugarh,88.91 ₹/L,97.38 ₹/L
Dima Hasao,90.37 ₹/L,98.83 ₹/L
Dimapur,86.65 ₹/L,98.28 ₹/L
Dindigul,95.31 ₹/L,103.70 ₹/L
Dindori,95.36 ₹/L,110.22 ₹/L
Diu,90.81 ₹/L,95.26 ₹/L
Doda,85.85 ₹/L,100.66 ₹/L
Dumka,95.31 ₹/L,100.53 ₹/L
Dungarpur,95.09 ₹/L,109.99 ₹/L
Durg,95.61 ₹/L,102.63 ₹/L
East Champaran,95.35 ₹/L,108.64 ₹/L
East Delhi,89.62 ₹/L,96.72 ₹/L
East District,89.90 ₹/L,102.85 ₹/L
East Garo Hills,84.78 ₹/L,96.27 ₹/L
East Godavari,99.88 ₹/L,112.22 ₹/L
East Imphal,87.13 ₹/L,101.19 ₹/L
East Jaintia Hills,85.34 ₹/L,97.01 ₹/L
East Khameng,83.91 ₹/L,94.74 ₹/L
East Khasi Hills,84.68 ₹/L,96.44 ₹/L
East Siang,84.22 ₹/L,94.97 ₹/L
East Singhbhum,95.08 ₹/L,100.29 ₹/L
Ernakulam,96.58 ₹/L,107.65 ₹/L
Erode,94.98 ₹/L,103.36 ₹/L
Etah,89.85 ₹/L,96.68 ₹/L
Etawah,90.06 ₹/L,96.90 ₹/L
Faizabad,90.42 ₹/L,97.25 ₹/L
Faridabad,90.11 ₹/L,97.25 ₹/L
Faridkot,87.60 ₹/L,97.25 ₹/L
Farrukkhabad,90.24 ₹/L,97.06 ₹/L
Fatehabad,90.81 ₹/L,97.98 ₹/L
Fatehgarh Sahib,88.12 ₹/L,97.79 ₹/L
Fatehpur,90.51 ₹/L,97.35 ₹/L
Fazilka,87.84 ₹/L,97.50 ₹/L
Firozabad,89.69 ₹/L,96.53 ₹/L
Firozpur,88.21 ₹/L,97.89 ₹/L
Gadag,88.20 ₹/L,102.25 ₹/L
Gadchiroli,93.36 ₹/L,106.82 ₹/L
Gajapati,97.13 ₹/L,105.66 ₹/L
Ganderbal,87.25 ₹/L,102.28 ₹/L
Gandhi Nagar,92.38 ₹/L,96.63 ₹/L
Ganganagar,98.24 ₹/L,113.48 ₹/L
Ganjam,96.17 ₹/L,104.66 ₹/L
Garhwa,97.38 ₹/L,102.58 ₹/L
Gariyaband,96.05 ₹/L,103.08 ₹/L
Gautam Budh Nagar,90.14 ₹/L,97.00 ₹/L
Gaya,95.04 ₹/L,108.31 ₹/L
Ghaziabad,89.75 ₹/L,96.58 ₹/L
