,diesel,petrol
Rayagada,98.43 ₹/L,107.01 ₹/L
Reasi,84.48 ₹/L,99.10 ₹/L
Rewa,96.06 ₹/L,110.98 ₹/L
Rewari,89.48 ₹/L,96.60 ₹/L
Ri Bhoi,84.18 ₹/L,95.82 ₹/L
Rohtak,90.13 ₹/L,97.26 ₹/L
Rohtas,95.23 ₹/L,108.52 ₹/L
Rudraprayag,92.18 ₹/L,97.28 ₹/L
Rupnagar,88.21 ₹/L,97.88 ₹/L
Sabar Kantha,92.84 ₹/L,97.10 ₹/L
Sagar,93.74 ₹/L,108.48 ₹/L
Saharanpur,90.24 ₹/L,97.07 ₹/L
Saharsa,94.79 ₹/L,108.07 ₹/L
Sahibganj,95.96 ₹/L,101.19 ₹/L
Saiha,84.75 ₹/L,98.61 ₹/L
Salem,95.15 ₹/L,103.54 ₹/L
Samastipur,94.15 ₹/L,107.39 ₹/L
Samba,83.26 ₹/L,97.50 ₹/L
Sambalpur,95.41 ₹/L,103.85 ₹/L
Sambhal,89.99 ₹/L,96.81 ₹/L
Sangareddy,98.60 ₹/L,110.49 ₹/L
Sangli,92.95 ₹/L,106.41 ₹/L
Sangrur,87.40 ₹/L,97.04 ₹/L
Sant Kabir Nagar,90.24 ₹/L,97.07 ₹/L
Sant Ravi Nagar,90.49 ₹/L,97.31 ₹/L
Saraikela Kharasawan,94.58 ₹/L,99.78 ₹/L
Saran,94.71 ₹/L,107.97 ₹/L
Sas Nagar,88.30 ₹/L,97.98 ₹/L
Satara,93.88 ₹/L,107.42 ₹/L
Satna,95.98 ₹/L,110.90 ₹/L
Sawaimadhopur,94.74 ₹/L,109.63 ₹/L
Sehore,94.10 ₹/L,108.87 ₹/L
Senapati,88.00 ₹/L,102.16 ₹/L
Seoni,95.56 ₹/L,110.44 ₹/L
Sepahijhala,88.71 ₹/L,99.79 ₹/L
Serchhip,82.86 ₹/L,96.49 ₹/L
Sewan,95.17 ₹/L,108.46 ₹/L
Shahdol,96.37 ₹/L,111.32 ₹/L
Shahjahanpur,89.72 ₹/L,96.53 ₹/L
Shajapur,94.47 ₹/L,109.27 ₹/L
Shamli,89.97 ₹/L,96.80 ₹/L
Shd Bhagat Singh Ngr,87.99 ₹/L,97.64 ₹/L
Sheikhpura,95.27 ₹/L,108.56 ₹/L
Sheohar,95.25 ₹/L,108.56 ₹/L
Sheopur,96.06 ₹/L,111.00 ₹/L
Shimla,86.30 ₹/L,97.24 ₹/L
Shimoga,88.45 ₹/L,102.62 ₹/L
Shivpuri,95.18 ₹/L,110.04 ₹/L
Shopian,86.59 ₹/L,101.55 ₹/L
Shravasti,90.19 ₹/L,96.99 ₹/L
Sibsagar,89.75 ₹/L,98.24 ₹/L
Siddipet,97.63 ₹/L,109.47 ₹/L
Sidharthnagar,90.86 ₹/L,97.70 ₹/L
Sidhi,95.51 ₹/L,110.35 ₹/L
Sikar,94.27 ₹/L,109.09 ₹/L
Silvassa,89.98 ₹/L,94.43 ₹/L
Simdega,95.62 ₹/L,100.81 ₹/L
Sindhudurg,94.34 ₹/L,107.86 ₹/L
Singrauli,94.03 ₹/L,108.74 ₹/L
Sirmaur,85.90 ₹/L,96.70 ₹/L
Sirohi,94.94 ₹/L,109.82 ₹/L
Sirsa,90.89 ₹/L,98.07 ₹/L
Sitamarhi,95.14 ₹/L,108.44 ₹/L
Sitapur,90.40 ₹/L,97.23 ₹/L
Sivaganga,95.20 ₹/L,103.57 ₹/L
Solan,84.56 ₹/L,95.26 ₹/L
Solapur,93.49 ₹/L,106.99 ₹/L
Sonapur,96.21 ₹/L,104.68 ₹/L
Sonbhadra,90.70 ₹/L,97.52 ₹/L
Sonipat,89.74 ₹/L,96.88 ₹/L
Sonitpur,88.75 ₹/L,97.20 ₹/L
South 24 Parganas,92.76 ₹/L,106.03 ₹/L
South Andaman,79.74 ₹/L,84.10 ₹/L
South Delhi,89.62 ₹/L,96.72 ₹/L
South District,89.90 ₹/L,102.85 ₹/L
South East Delhi,89.62 ₹/L,96.72 ₹/L
South Garo Hills,85.25 ₹/L,96.74 ₹/L
South Goa,89.68 ₹/L,97.11 ₹/L
South Tripura,89.27 ₹/L,100.38 ₹/L
South West Delhi,89.62 ₹/L,96.72 ₹/L
Southwest Khasi Hils,85.38 ₹/L,96.87 ₹/L
Srikakulam,99.53 ₹/L,111.84 ₹/L
Srinagar,86.97 ₹/L,101.98 ₹/L
Sukma,99.17 ₹/L,106.25 ₹/L
Sultanpur,91.14 ₹/L,97.98 ₹/L
Sundargarh,96.31 ₹/L,104.78 ₹/L
Supaul,95.55 ₹/L,108.88 ₹/L
Surajpur,96.67 ₹/L,103.70 ₹/L
Surat,92.40 ₹/L,96.63 ₹/L
Surendranagar,92.92 ₹/L,97.15 ₹/L
Surguja,96.57 ₹/L,103.59 ₹/L
Suryapet,97.22 ₹/L,109.04 ₹/L
Tamenglong,88.42 ₹/L,102.62 ₹/L
Tapi,92.75 ₹/L,96.99 ₹/L
Tarn Taran,88.09 ₹/L,97.75 ₹/L
Tawang,86.91 ₹/L,98.26 ₹/L
Tehri Garhwal,91.38 ₹/L,96.45 ₹/L
Tengnoupal,87.97 ₹/L,102.12 ₹/L
Teni,95.41 ₹/L,103.79 ₹/L
Thane,92.47 ₹/L,105.97 ₹/L
Thanjavur,94.88 ₹/L,103.25 ₹/L
The Dangs,93.01 ₹/L,97.25 ₹/L
Thiruvananthapuram,98.53 ₹/L,109.73 ₹/L
Thiruvarur,95.42 ₹/L,103.80 ₹/L
Thoubal,87.29 ₹/L,101.37 ₹/L
Thrissur,97.09 ₹/L,108.20 ₹/L
Tikamgarh,94.64 ₹/L,109.47 ₹/L
Tinsukia,88.51 ₹/L,96.98 ₹/L
Tirap,84.52 ₹/L,95.34 ₹/L
Tiruchchirappalli,95.04 ₹/L,103.41 ₹/L
Tirunelveli,94.60 ₹/L,102.95 ₹/L
Tirupur,94.78 ₹/L,103.17 ₹/L
Tiruvallur,94.40 ₹/L,102.81 ₹/L
Tiruvannamalai,95.12 ₹/L,103.54 ₹/L
Tonk,94.05 ₹/L,108.86 ₹/L
Tuensang,89.91 ₹/L,102.04 ₹/L
Tumkur,88.36 ₹/L,102.45 ₹/L
Tuticorin,94.60 ₹/L,102.97 ₹/L
Udaipur,94.13 ₹/L,108.92 ₹/L
Udalguri,89.25 ₹/L,97.73 ₹/L
Udham Singh Nagar,89.97 ₹/L,94.85 ₹/L
Udhampur,84.45 ₹/L,99.09 ₹/L
Udupi,87.54 ₹/L,101.59 ₹/L
Ujjain,94.25 ₹/L,109.01 ₹/L
Ukhrul,87.81 ₹/L,101.94 ₹/L
Umaria,95.81 ₹/L,110.71 ₹/L
Una,84.09 ₹/L,94.76 ₹/L
Unakoti,87.09 ₹/L,98.04 ₹/L
Unnao,89.96 ₹/L,96.78 ₹/L
Upper Siang,85.06 ₹/L,95.83 ₹/L
Upper Sibansiri,85.00 ₹/L,95.78 ₹/L
Uttar Dinajpur,93.23 ₹/L,106.54 ₹/L
Uttar Kannad,88.76 ₹/L,102.94 ₹/L
Uttarkashi,91.51 ₹/L,96.62 ₹/L
Vadodara,91.82 ₹/L,96.08 ₹/L
Vaishali,94.09 ₹/L,107.30 ₹/L
Valsad,93.15 ₹/L,97.39 ₹/L
Varanasi,90.08 ₹/L,96.89 ₹/L
Vellore,95.52 ₹/L,103.95 ₹/L
Vidisha,93.89 ₹/L,108.66 ₹/L
Vikarabad,98.88 ₹/L,110.79 ₹/L
Viluppuram,95.73 ₹/L,104.17 ₹/L
Virudunagar,95.40 ₹/L,103.76 ₹/L
Vishakhapatnam,98.27 ₹/L,110.48 ₹/L
Vizianagaram,99.57 ₹/L,111.88 ₹/L
Wanaparthy,99.12 ₹/L,111.05 ₹/L
Warangal,97.29 ₹/L,109.10 ₹/L
Warangal Rural,97.50 ₹/L,109.32 ₹/L
Wardha,93.52 ₹/L,107.01 ₹/L
Washim,93.59 ₹/L,107.07 ₹/L
Wayanad,97.84 ₹/L,109.05 ₹/L
West Champaran,95.82 ₹/L,109.15 ₹/L
West Delhi,89.62 ₹/L,96.72 ₹/L
West District,89.90 ₹/L,102.85 ₹/L
West Garo Hills,84.86 ₹/L,96.34 ₹/L
West Godavari,99.36 ₹/L,111.62 ₹/L
West Imphal,87.13 ₹/L,101.19 ₹/L
West Kameng,85.33 ₹/L,96.54 ₹/L
West Karbi Anglong,90.00 ₹/L,98.48 ₹/L
West Khasi Hills,85.61 ₹/L,97.34 ₹/L
West Siang,84.84 ₹/L,95.82 ₹/L
West Singhbhum,95.92 ₹/L,101.13 ₹/L
West Tripura,88.44 ₹/L,99.49 ₹/L
Wokha,88.32 ₹/L,100.30 ₹/L
Yadadri Bhuvanagiri,98.00 ₹/L,109.87 ₹/L
Yadgir,88.25 ₹/L,102.31 ₹/L
Yamunanagar,90.11 ₹/L,97.26 ₹/L
Yanam,86.59 ₹/L,96.82 ₹/L
Yavatmal,93.80 ₹/L,107.29 ₹/L
Zunheboto,89.18 ₹/L,101.32 ₹/L
